Stock number,Artist's reference number,Title,Year,Medium,Dimensions,Signed and dated,Series,Additional information,Status,Availability,Location,Location (detail),Condition
HC1442,i23-0442,Untitled (i23-0442),,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,,"Portrait orientation
Laser printed AARON drawings
AARON'S Drawings People
Image: 7 5/8 x 10 1/4
Maybe a drawing of a painting
Toner ink on paper",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1441,i23-0441,Untitled (i23-0441),,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,,"Portrait orientation
Laser printed AARON drawings
AARON'S Drawings People
Image: 7 1/2 x 7 5/8
Toner ink on paper",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1440,i23-0440,Untitled (i23-0440),,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,,"Landscape orientation
Laser printed AARON drawings
AARON'S Drawings People
Image: 7 3/8 x 8 5/8 
Toner ink on paper",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1439,i23-0439,Untitled (i23-0439),,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,,"Portrait orientation
Laser printed AARON drawings
AARON'S Drawings People
Image: 6 7/8 x 6 3/4
Toner ink on paper",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1438,i23-0438,Untitled (i23-0438),,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,,"Landscape orientation
Laser printed AARON drawings
AARON'S Drawings People
Image: 7 1/2 x 9 1/2
Toner ink on paper",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1437,i23-0437,Untitled (i23-0437),,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,,"Landscape orientation
Laser printed AARON drawings
AARON'S Drawings People
Image: 7 1/2 x 8 7/8
Toner ink on paper",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1436,i23-0436,Untitled (i23-0436),,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,,"Portrait orientation
Laser printed AARON drawings
AARON'S Drawings People
Image: 8 x 7
Toner ink on paper",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1435,i23-0435,Untitled (i23-0435),1997-1998,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,,"Landscape orientation
Laser printed AARON drawings
AARON'S Drawings Trees
Image: 5 3/4 x 5 1/2
Toner ink on paper",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1434,i23-0434,Untitled (i23-0434),1997-1998,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,,"Landscape orientation
Laser printed AARON drawings
AARON'S Drawings Trees
Image: 5 5/8 x 6
Toner ink on paper",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1433,i23-0433,Untitled (i23-0433),1997-1998,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,,"Landscape orientation
Laser printed AARON drawings
AARON'S Drawings Trees
Image: 8 3/8 x 7 1/2
Toner ink on paper",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1432,i23-0432,Untitled (i23-0432),1997-1998,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,,"Landscape orientation
Laser printed AARON drawings
AARON'S Drawings Trees
Image: 6 1/2 x 6 1/8
Toner ink on paper",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1431,i23-0431,Untitled (i23-0431),1997-1998,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,,"Landscape orientation
Laser printed AARON drawings
AARON'S Drawings Trees
Image: 4 1/2 x 4 3/4
Toner ink on paper",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1430,i23-0430,Untitled (i23-0430),1997-1998,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,,"Landscape orientation
Laser printed AARON drawings
AARON'S Drawings Trees
Image: 4 3/4 x 3 5/8
Toner ink on paper",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1429,i23-0429,Untitled (i23-0429),1997-1998,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,,"Landscape orientation
Laser printed AARON drawings
AARON'S Drawings Trees
Image: 6 5/8 x 8
Toner ink on paper",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1428,i23-0428,Untitled (i23-0428),1997-1998,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,,"Landscape orientation
Laser printed AARON drawings
AARON'S Drawings Trees
Image: 5 x 5 1/8
Toner ink on paper",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1427,i23-0427,Untitled (i23-0427),1997-1998,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,,"Landscape orientation
Laser printed AARON drawings
AARON'S Drawings Trees
Image: 5 3/8 x 6 1/2
Toner ink on paper",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1426,i23-0426,Untitled (i23-0426),1997-1998,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,,"Landscape orientation
Laser printed AARON drawings
AARON'S Drawings Trees
Image: 5 1/2 x 6
Toner ink on paper",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1425,i23-0425,Untitled (i23-0425),1997-1998,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,,"Landscape orientation
Laser printed AARON drawings
Image: 6 3/4 x 6 1/4
AARON'S Drawings People
Toner ink on paper",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1424,i23-0424,Untitled (i23-0424),1997-1998,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,,"Landscape orientation
Laser printed AARON drawings
Image: 6 1/2 x 6 1/4
AARON'S Drawings People
Toner ink on paper",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1423,i23-0423,Untitled (i23-0423),1997-1998,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,,"Landscape orientation
Laser printed AARON drawings
Image: 6 x 6 1/2
AARON'S Drawings People
Toner ink on paper",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1422,i23-0422,Untitled (i23-0422),1997-1998,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,,"Landscape orientation
Laser printed AARON drawings
Image: 6 1/2 x 4 1/2
AARON'S Drawings People
Toner ink on paper",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1421,i23-0421,Untitled (i23-0421),1997-1998,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,,"Landscape orientation
Laser printed AARON drawings
Image: 6 1/2 x 9 1/4
AARON'S Drawings People
Toner ink on paper",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1420,i23-0420,Untitled (i23-0420),1997-1998,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,,"Landscape orientation
Laser printed AARON drawings
Image: 7 1/4 x 10 1/2
AARON'S Drawings People
Toner ink on paper",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1419,i23-0419,Untitled (i23-0419),1997-1998,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,,"Landscape orientation
Laser printed AARON drawings
Image: 7 1/2 x 10 1/4
AARON'S Drawings People
Toner ink on paper",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1418,i23-0418,Untitled (i23-0418),1997-1998,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,,"Landscape orientation
Laser printed AARON drawings
Image: 7 1/2 x 10 1/2
AARON'S Drawings People
Toner ink on paper",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1417,i23-0417,Untitled (i23-0417),1997-1998,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,,"Landscape orientation
Laser printed AARON drawings
Image: 7 3/8 x 10 1/2
AARON'S Drawings People
Toner ink on paper",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1416,i23-0416,Untitled (i23-0416),1997-1998,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,,"Landscape orientation
Laser printed AARON drawings
Image: 7 1/2 x 10 1/2
AARON'S Drawings People
Toner ink on paper",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1415,i23-0415,Untitled (i23-0415),1997-1998,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,,"Landscape orientation
Laser printed AARON drawings
Image: 6 3/4 x 4 3/4 
AARON'S Drawings People
Toner ink on paper",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
HC1414,i23-0414,Untitled (i23-0414),1997-1998,Ink on paper,"21.6 x 27.9 cm; 8 1/2 x 11 in",,,"Landscape orientation
Laser printed AARON drawings
Image: 6 3/4 x 6
AARON'S Drawings People
Toner ink on paper",3rd Party,Potentially available,"Encinitas, California, United States",Red Drawer,
